Age,PriorConvictions,MentalHealth,DrugUse,EmploymentStatus,CrimeType,Reoffend
18,12,In Recovery,Frequent,Part-Time,Assault,0
24,13,In Recovery,Never,Criminal Income,Murder,1
73,62,In Recovery,Dealer,Full-Time,Other,1
53,10,Mild,Occasional,Unemployed,Fraud,0
43,51,Mild,Frequent,Criminal Income,Cybercrime,1
65,92,None,Dealer,Part-Time,Theft,1
70,23,Severe,Occasional,Full-Time,Rape,1
15,89,In Recovery,Never,Unemployed,Kidnapping,1
26,49,None,Never,Part-Time,Murder,1
75,62,Undiagnosed,Occasional,Unemployed,Other,1
50,41,None,Dealer,Full-Time,Fraud,1
35,35,Mild,Never,Full-Time,Fraud,0
61,44,In Recovery,Addicted,Criminal Income,Cybercrime,1
41,87,In Recovery,Dealer,Unemployed,Cybercrime,1
73,37,Mild,Not Found,Criminal Income,Dacoity,1
8,100,In Recovery,Dealer,Unemployed,Dacoity,1
28,15,Severe,Dealer,Criminal Income,Kidnapping,1
14,90,Mild,Never,Unemployed,Theft,1
48,29,Mild,Occasional,Part-Time,Kidnapping,1
11,84,None,Addicted,Criminal Income,Rape,1
56,97,None,Never,Unemployed,Cybercrime,1
42,5,None,Not Found,Unemployed,Rape,0
18,57,Mild,Frequent,Full-Time,Dacoity,1
39,55,Undiagnosed,Addicted,Part-Time,Cybercrime,1
11,58,None,Never,Criminal Income,Assault,1
41,39,Undiagnosed,Frequent,Full-Time,Rape,1
12,10,In Recovery,Occasional,Part-Time,Assault,0
33,77,None,Addicted,Unemployed,Murder,1
73,44,None,Never,Full-Time,Dacoity,0
56,93,In Recovery,Not Found,Full-Time,Theft,1
44,35,None,Dealer,Full-Time,Assault,1
14,37,None,Occasional,Unemployed,Kidnapping,1
68,85,Mild,Never,Full-Time,Drug Offense,1
16,51,Undiagnosed,Never,Full-Time,Drug Offense,1
40,9,Undiagnosed,Frequent,Unemployed,Drug Offense,1
52,74,None,Frequent,Unemployed,Cybercrime,1
37,74,In Recovery,Frequent,Full-Time,Cybercrime,1
18,48,Severe,Addicted,Criminal Income,Drug Offense,1
37,89,In Recovery,Dealer,Part-Time,Cybercrime,1
9,48,None,Occasional,Criminal Income,Other,1
77,36,None,Addicted,Unemployed,Theft,1
19,69,Mild,Addicted,Unemployed,Kidnapping,1
32,70,Severe,Not Found,Criminal Income,Other,1
64,70,In Recovery,Addicted,Criminal Income,Kidnapping,1
74,80,In Recovery,Occasional,Criminal Income,Cybercrime,1
43,32,None,Dealer,Full-Time,Rape,1
74,34,In Recovery,Addicted,Full-Time,Drug Offense,1
25,43,Undiagnosed,Never,Part-Time,Dacoity,1
13,86,In Recovery,Occasional,Unemployed,Dacoity,1
49,56,None,Not Found,Full-Time,Rape,1
12,51,Mild,Never,Full-Time,Drug Offense,1
39,65,Mild,Never,Criminal Income,Cybercrime,1
20,5,Undiagnosed,Dealer,Full-Time,Rape,1
57,65,In Recovery,Occasional,Unemployed,Cybercrime,1
30,56,Severe,Not Found,Criminal Income,Cybercrime,1
62,22,Undiagnosed,Addicted,Part-Time,Cybercrime,1
28,45,Mild,Dealer,Full-Time,Kidnapping,1
43,60,Undiagnosed,Never,Full-Time,Drug Offense,1
12,81,Mild,Never,Criminal Income,Fraud,1
22,92,Mild,Frequent,Criminal Income,Kidnapping,1
30,86,Undiagnosed,Addicted,Criminal Income,Rape,1
70,8,Mild,Not Found,Part-Time,Murder,1
37,54,Severe,Dealer,Unemployed,Assault,1
9,53,In Recovery,Not Found,Full-Time,Fraud,1
42,47,In Recovery,Never,Unemployed,Fraud,1
56,38,Severe,Addicted,Unemployed,Dacoity,1
38,0,In Recovery,Occasional,Unemployed,Fraud,0
17,24,Mild,Dealer,Criminal Income,Dacoity,1
72,1,Mild,Not Found,Part-Time,Kidnapping,0
76,1,Mild,Not Found,Unemployed,Theft,0
30,93,Mild,Never,Unemployed,Cybercrime,1
8,93,Undiagnosed,Addicted,Criminal Income,Dacoity,1
30,33,In Recovery,Frequent,Part-Time,Rape,1
47,32,In Recovery,Addicted,Unemployed,Assault,1
32,21,Mild,Not Found,Full-Time,Other,0
17,73,Undiagnosed,Never,Part-Time,Assault,1
21,38,Undiagnosed,Addicted,Part-Time,Dacoity,1
21,54,Mild,Addicted,Unemployed,Fraud,1
62,98,In Recovery,Never,Part-Time,Drug Offense,1
11,99,Severe,Not Found,Unemployed,Kidnapping,1
35,17,Mild,Occasional,Part-Time,Cybercrime,0
21,11,Mild,Occasional,Unemployed,Murder,1
65,92,Undiagnosed,Dealer,Criminal Income,Rape,1
42,18,Mild,Addicted,Full-Time,Drug Offense,1
62,45,Mild,Occasional,Full-Time,Theft,1
12,41,Undiagnosed,Not Found,Criminal Income,Drug Offense,1
33,80,In Recovery,Frequent,Part-Time,Cybercrime,1
79,82,In Recovery,Frequent,Part-Time,Rape,1
39,59,Severe,Never,Unemployed,Dacoity,1
75,2,Mild,Not Found,Part-Time,Assault,0
11,22,Severe,Frequent,Criminal Income,Rape,1
44,49,Severe,Frequent,Part-Time,Fraud,1
50,4,Severe,Dealer,Part-Time,Assault,1
68,99,In Recovery,Addicted,Full-Time,Dacoity,1
26,39,None,Never,Criminal Income,Theft,1
17,70,In Recovery,Not Found,Unemployed,Dacoity,1
16,25,Mild,Never,Part-Time,Kidnapping,1
76,14,None,Occasional,Part-Time,Fraud,0
27,9,Severe,Never,Part-Time,Assault,0
31,98,Severe,Dealer,Full-Time,Drug Offense,1
44,76,None,Frequent,Criminal Income,Kidnapping,1
65,67,None,Never,Criminal Income,Cybercrime,1
28,17,Undiagnosed,Dealer,Unemployed,Other,1
10,79,None,Dealer,Criminal Income,Murder,1
50,4,In Recovery,Frequent,Full-Time,Kidnapping,0
25,49,Mild,Never,Criminal Income,Fraud,1
30,89,In Recovery,Addicted,Part-Time,Dacoity,1
43,25,None,Frequent,Criminal Income,Fraud,1
62,6,None,Occasional,Part-Time,Drug Offense,0
57,68,Severe,Frequent,Unemployed,Cybercrime,1
49,34,In Recovery,Occasional,Unemployed,Kidnapping,1
14,16,Undiagnosed,Frequent,Criminal Income,Assault,1
75,99,Undiagnosed,Not Found,Criminal Income,Kidnapping,1
63,64,In Recovery,Dealer,Criminal Income,Assault,1
68,72,In Recovery,Occasional,Part-Time,Dacoity,1
46,11,Mild,Not Found,Full-Time,Kidnapping,0
46,94,In Recovery,Dealer,Full-Time,Theft,1
39,72,None,Occasional,Part-Time,Theft,1
63,96,None,Frequent,Full-Time,Fraud,1
74,90,In Recovery,Dealer,Unemployed,Dacoity,1
55,30,In Recovery,Addicted,Criminal Income,Other,1
52,10,None,Frequent,Unemployed,Theft,0
52,95,Undiagnosed,Frequent,Part-Time,Murder,1
48,9,Mild,Never,Criminal Income,Fraud,0
47,43,Undiagnosed,Not Found,Criminal Income,Fraud,1
48,64,Severe,Never,Unemployed,Drug Offense,1
72,30,In Recovery,Dealer,Full-Time,Murder,1
62,28,None,Not Found,Unemployed,Theft,0
12,68,In Recovery,Frequent,Full-Time,Other,1
69,48,In Recovery,Frequent,Part-Time,Rape,1
33,40,Undiagnosed,Occasional,Full-Time,Murder,1
72,62,Severe,Dealer,Criminal Income,Cybercrime,1
20,91,Mild,Never,Full-Time,Rape,1
24,33,In Recovery,Addicted,Unemployed,Cybercrime,1
70,100,None,Not Found,Unemployed,Assault,1
23,8,None,Frequent,Unemployed,Other,0
57,42,In Recovery,Frequent,Full-Time,Theft,1
44,61,Mild,Frequent,Unemployed,Kidnapping,1
54,24,In Recovery,Dealer,Criminal Income,Other,1
61,4,Severe,Frequent,Full-Time,Kidnapping,0
14,9,Severe,Not Found,Unemployed,Kidnapping,1
19,51,Undiagnosed,Never,Part-Time,Dacoity,1
24,96,Undiagnosed,Frequent,Part-Time,Murder,1
80,75,Mild,Never,Part-Time,Drug Offense,1
19,16,In Recovery,Not Found,Part-Time,Other,0
64,44,None,Frequent,Full-Time,Cybercrime,0
15,18,Severe,Not Found,Full-Time,Assault,1
65,95,In Recovery,Never,Part-Time,Cybercrime,1
20,46,Severe,Not Found,Full-Time,Other,1
30,52,Undiagnosed,Occasional,Unemployed,Cybercrime,1
65,4,Undiagnosed,Dealer,Unemployed,Dacoity,1
16,13,Severe,Never,Full-Time,Assault,0
60,67,None,Dealer,Criminal Income,Cybercrime,1
60,9,Mild,Not Found,Part-Time,Cybercrime,0
22,73,Mild,Dealer,Criminal Income,Cybercrime,1
17,91,In Recovery,Not Found,Part-Time,Drug Offense,1
22,98,In Recovery,Not Found,Unemployed,Murder,1
35,85,None,Frequent,Part-Time,Theft,1
39,68,Undiagnosed,Never,Full-Time,Kidnapping,1
34,51,Undiagnosed,Never,Unemployed,Murder,1
70,8,None,Dealer,Full-Time,Cybercrime,1
67,0,None,Occasional,Criminal Income,Assault,0
59,14,None,Dealer,Part-Time,Cybercrime,1
34,40,In Recovery,Dealer,Full-Time,Other,1
52,70,Severe,Addicted,Full-Time,Rape,1
30,40,None,Not Found,Part-Time,Drug Offense,1
65,48,Severe,Dealer,Criminal Income,Dacoity,1
45,26,Undiagnosed,Frequent,Criminal Income,Fraud,1
20,38,Severe,Occasional,Unemployed,Drug Offense,1
47,76,Undiagnosed,Addicted,Unemployed,Rape,1
76,11,None,Never,Full-Time,Drug Offense,0
10,25,In Recovery,Frequent,Full-Time,Dacoity,1
23,7,Severe,Occasional,Full-Time,Rape,1
69,100,In Recovery,Not Found,Criminal Income,Kidnapping,1
28,63,Undiagnosed,Occasional,Criminal Income,Fraud,1
29,75,Mild,Occasional,Part-Time,Rape,1
22,65,In Recovery,Occasional,Full-Time,Cybercrime,1
72,12,Severe,Dealer,Full-Time,Drug Offense,1
54,52,Severe,Not Found,Full-Time,Rape,1
31,9,None,Dealer,Full-Time,Other,0
62,56,None,Never,Unemployed,Theft,1
74,12,Severe,Not Found,Full-Time,Assault,1
49,93,In Recovery,Never,Unemployed,Kidnapping,1
66,94,None,Never,Unemployed,Dacoity,1
41,15,Severe,Occasional,Part-Time,Dacoity,1
15,47,Undiagnosed,Not Found,Full-Time,Dacoity,1
32,14,None,Addicted,Part-Time,Kidnapping,1
39,75,Undiagnosed,Dealer,Unemployed,Other,1
36,18,In Recovery,Frequent,Part-Time,Drug Offense,1
18,48,In Recovery,Addicted,Full-Time,Dacoity,1
18,83,In Recovery,Dealer,Criminal Income,Cybercrime,1
62,37,None,Frequent,Unemployed,Kidnapping,1
30,16,Severe,Not Found,Part-Time,Kidnapping,1
69,70,Mild,Occasional,Full-Time,Dacoity,1
45,25,Mild,Frequent,Unemployed,Kidnapping,1
51,64,Undiagnosed,Occasional,Criminal Income,Kidnapping,1
25,4,Undiagnosed,Dealer,Full-Time,Rape,1
24,25,Severe,Addicted,Full-Time,Rape,1
18,53,None,Frequent,Part-Time,Other,1
35,86,In Recovery,Frequent,Full-Time,Dacoity,1
80,53,None,Dealer,Unemployed,Theft,1
70,36,In Recovery,Occasional,Unemployed,Murder,1
35,62,None,Dealer,Part-Time,Theft,1
59,25,Mild,Dealer,Full-Time,Dacoity,1
29,26,Undiagnosed,Never,Criminal Income,Kidnapping,1
55,73,Severe,Not Found,Part-Time,Dacoity,1
31,23,Undiagnosed,Never,Part-Time,Murder,1
80,53,None,Addicted,Part-Time,Kidnapping,1
65,8,Undiagnosed,Frequent,Full-Time,Kidnapping,0
65,93,None,Occasional,Unemployed,Kidnapping,1
8,84,Undiagnosed,Occasional,Part-Time,Theft,1
76,57,Mild,Frequent,Criminal Income,Rape,1
27,76,In Recovery,Never,Part-Time,Rape,1
78,82,Undiagnosed,Addicted,Unemployed,Cybercrime,1
26,93,None,Dealer,Part-Time,Theft,1
10,10,Mild,Frequent,Criminal Income,Drug Offense,1
41,34,Severe,Frequent,Full-Time,Kidnapping,1
74,39,None,Dealer,Criminal Income,Kidnapping,1
20,48,None,Addicted,Unemployed,Theft,1
17,28,In Recovery,Addicted,Unemployed,Other,1
43,24,Severe,Not Found,Part-Time,Rape,1
74,95,Undiagnosed,Occasional,Criminal Income,Fraud,1
73,7,Severe,Frequent,Part-Time,Rape,1
57,83,Mild,Not Found,Unemployed,Rape,1
67,68,Undiagnosed,Not Found,Part-Time,Fraud,1
17,42,Mild,Frequent,Part-Time,Murder,1
35,49,Undiagnosed,Not Found,Full-Time,Assault,1
11,86,Undiagnosed,Never,Full-Time,Fraud,1
56,55,Severe,Dealer,Unemployed,Other,1
21,16,None,Occasional,Part-Time,Murder,0
61,92,Undiagnosed,Occasional,Criminal Income,Cybercrime,1
57,33,None,Not Found,Criminal Income,Assault,1
71,20,Severe,Occasional,Unemployed,Murder,1
62,82,Severe,Frequent,Unemployed,Kidnapping,1
32,11,Mild,Never,Part-Time,Kidnapping,0
35,7,None,Not Found,Part-Time,Fraud,0
24,29,None,Addicted,Part-Time,Cybercrime,1
70,64,Severe,Addicted,Unemployed,Theft,1
56,41,None,Dealer,Unemployed,Assault,1
58,48,Undiagnosed,Addicted,Part-Time,Drug Offense,1
21,71,Mild,Not Found,Unemployed,Other,1
22,56,Severe,Occasional,Part-Time,Other,1
68,15,Mild,Never,Part-Time,Drug Offense,0
13,60,Undiagnosed,Not Found,Part-Time,Dacoity,1
23,23,Mild,Never,Unemployed,Fraud,0
14,54,Severe,Not Found,Part-Time,Cybercrime,1
37,0,Severe,Dealer,Unemployed,Kidnapping,1
77,28,None,Dealer,Criminal Income,Assault,1
25,11,Severe,Not Found,Unemployed,Kidnapping,1
52,79,Undiagnosed,Not Found,Criminal Income,Kidnapping,1
22,68,None,Dealer,Unemployed,Assault,1
19,55,In Recovery,Occasional,Criminal Income,Drug Offense,1
66,15,Severe,Addicted,Unemployed,Theft,1
49,57,None,Addicted,Criminal Income,Rape,1
53,8,In Recovery,Occasional,Unemployed,Rape,1
76,78,Severe,Never,Unemployed,Kidnapping,1
9,21,Mild,Dealer,Unemployed,Fraud,1
77,8,Undiagnosed,Never,Unemployed,Drug Offense,1
74,6,Mild,Addicted,Full-Time,Other,1
31,26,Undiagnosed,Never,Unemployed,Cybercrime,1
35,18,Severe,Dealer,Part-Time,Cybercrime,1
28,76,In Recovery,Frequent,Full-Time,Kidnapping,1
57,7,In Recovery,Frequent,Full-Time,Other,0
46,8,In Recovery,Frequent,Unemployed,Assault,1
54,90,None,Frequent,Unemployed,Assault,1
49,58,In Recovery,Never,Full-Time,Cybercrime,1
30,43,Severe,Frequent,Unemployed,Fraud,1
67,38,Severe,Occasional,Criminal Income,Dacoity,1
39,55,Mild,Not Found,Unemployed,Cybercrime,1
55,68,Mild,Occasional,Criminal Income,Assault,1
30,29,Mild,Not Found,Criminal Income,Kidnapping,1
41,98,Mild,Never,Full-Time,Other,1
21,77,Mild,Frequent,Part-Time,Fraud,1
59,36,None,Occasional,Part-Time,Assault,1
77,10,Severe,Frequent,Unemployed,Rape,1
36,46,Undiagnosed,Dealer,Criminal Income,Dacoity,1
62,43,Mild,Frequent,Full-Time,Fraud,1
11,18,Mild,Occasional,Full-Time,Murder,1
45,23,Mild,Occasional,Full-Time,Kidnapping,0
11,29,In Recovery,Addicted,Full-Time,Drug Offense,1
48,10,Mild,Never,Unemployed,Theft,0
62,61,None,Never,Full-Time,Other,0
48,63,In Recovery,Not Found,Unemployed,Fraud,1
29,24,None,Dealer,Criminal Income,Theft,1
50,54,None,Occasional,Criminal Income,Murder,1
61,58,In Recovery,Occasional,Criminal Income,Fraud,1
60,80,None,Frequent,Criminal Income,Rape,1
21,4,Undiagnosed,Addicted,Criminal Income,Other,1
17,14,In Recovery,Frequent,Part-Time,Other,0
11,29,Severe,Not Found,Criminal Income,Other,1
35,39,Undiagnosed,Dealer,Criminal Income,Kidnapping,1
27,79,None,Frequent,Full-Time,Theft,1
40,38,Severe,Addicted,Unemployed,Other,1
8,67,In Recovery,Never,Unemployed,Dacoity,1
15,85,In Recovery,Not Found,Unemployed,Rape,1
40,51,None,Addicted,Unemployed,Fraud,1
23,30,Undiagnosed,Occasional,Part-Time,Dacoity,1
61,56,Mild,Frequent,Unemployed,Dacoity,1
76,43,In Recovery,Occasional,Unemployed,Drug Offense,1
50,69,Mild,Frequent,Unemployed,Assault,1
54,17,Mild,Occasional,Part-Time,Fraud,0
78,73,Severe,Dealer,Part-Time,Theft,1
45,36,Undiagnosed,Addicted,Part-Time,Theft,1
33,12,None,Never,Full-Time,Other,0
29,28,Undiagnosed,Addicted,Full-Time,Dacoity,1
68,20,Undiagnosed,Never,Part-Time,Cybercrime,0
34,11,Mild,Never,Criminal Income,Dacoity,0
79,96,Severe,Never,Full-Time,Theft,1
12,56,Undiagnosed,Addicted,Full-Time,Drug Offense,1
38,5,None,Occasional,Part-Time,Cybercrime,0
50,22,Mild,Not Found,Unemployed,Drug Offense,1
33,27,None,Occasional,Full-Time,Other,0
78,49,Severe,Frequent,Unemployed,Theft,1
8,43,In Recovery,Occasional,Full-Time,Kidnapping,1
76,99,In Recovery,Never,Full-Time,Fraud,1
71,28,None,Occasional,Part-Time,Assault,1
43,54,Mild,Never,Criminal Income,Murder,1
55,35,Severe,Addicted,Criminal Income,Fraud,1
48,100,Mild,Dealer,Part-Time,Kidnapping,1
35,14,None,Addicted,Criminal Income,Drug Offense,1
33,9,Mild,Frequent,Unemployed,Theft,0
12,22,In Recovery,Not Found,Unemployed,Other,1
17,3,Undiagnosed,Dealer,Unemployed,Dacoity,1
13,98,Undiagnosed,Addicted,Unemployed,Murder,1
34,24,Severe,Occasional,Part-Time,Rape,1
45,90,Severe,Frequent,Part-Time,Drug Offense,1
75,14,Undiagnosed,Frequent,Criminal Income,Fraud,1
12,53,Mild,Addicted,Part-Time,Theft,1
11,18,In Recovery,Not Found,Unemployed,Other,1
43,13,Severe,Occasional,Full-Time,Rape,1
9,9,None,Never,Full-Time,Fraud,0
61,34,Undiagnosed,Not Found,Full-Time,Fraud,0
80,28,Mild,Frequent,Full-Time,Rape,1
31,84,In Recovery,Not Found,Unemployed,Fraud,1
10,3,Severe,Frequent,Unemployed,Murder,1
15,35,Mild,Addicted,Full-Time,Assault,1
60,79,Severe,Never,Unemployed,Theft,1
19,76,None,Addicted,Unemployed,Dacoity,1
50,60,Undiagnosed,Frequent,Criminal Income,Rape,1
36,88,Mild,Not Found,Criminal Income,Assault,1
78,89,Severe,Never,Full-Time,Other,1
59,64,Severe,Occasional,Unemployed,Fraud,1
54,47,Undiagnosed,Not Found,Criminal Income,Drug Offense,1
14,25,Mild,Never,Unemployed,Fraud,1
19,74,Mild,Frequent,Full-Time,Rape,1
9,76,In Recovery,Frequent,Unemployed,Other,1
65,68,Severe,Frequent,Part-Time,Assault,1
74,10,Mild,Addicted,Part-Time,Theft,1
69,63,Undiagnosed,Addicted,Criminal Income,Rape,1
51,93,Mild,Frequent,Full-Time,Rape,1
23,13,In Recovery,Frequent,Criminal Income,Cybercrime,1
46,54,Undiagnosed,Frequent,Part-Time,Theft,1
40,38,Severe,Never,Unemployed,Drug Offense,1
74,53,Mild,Never,Unemployed,Cybercrime,1
37,79,Mild,Never,Unemployed,Murder,1
29,0,Severe,Addicted,Part-Time,Assault,1
74,10,Severe,Dealer,Part-Time,Fraud,1
25,62,Severe,Frequent,Part-Time,Assault,1
51,9,None,Addicted,Full-Time,Cybercrime,0
20,96,None,Dealer,Criminal Income,Dacoity,1
73,54,In Recovery,Frequent,Full-Time,Rape,1
32,13,In Recovery,Frequent,Criminal Income,Fraud,1
61,18,None,Occasional,Part-Time,Other,0
61,51,Undiagnosed,Never,Full-Time,Theft,1
29,2,None,Dealer,Full-Time,Assault,0
45,85,Mild,Not Found,Unemployed,Assault,1
51,5,Severe,Dealer,Unemployed,Dacoity,1
50,83,Severe,Dealer,Criminal Income,Drug Offense,1
39,93,Undiagnosed,Frequent,Unemployed,Fraud,1
32,69,None,Frequent,Unemployed,Fraud,1
46,37,Mild,Occasional,Unemployed,Murder,1
21,39,Severe,Not Found,Criminal Income,Cybercrime,1
33,5,Mild,Dealer,Part-Time,Cybercrime,1
38,76,Mild,Never,Unemployed,Dacoity,1
69,9,In Recovery,Dealer,Part-Time,Dacoity,1
10,23,None,Occasional,Full-Time,Theft,0
28,26,None,Frequent,Criminal Income,Drug Offense,1
24,54,None,Dealer,Unemployed,Cybercrime,1
36,65,Mild,Not Found,Part-Time,Cybercrime,1
50,58,None,Occasional,Unemployed,Rape,1
64,65,None,Addicted,Part-Time,Kidnapping,1
44,12,In Recovery,Frequent,Full-Time,Fraud,0
10,62,Severe,Frequent,Criminal Income,Theft,1
19,35,Mild,Dealer,Unemployed,Fraud,1
49,32,Severe,Occasional,Unemployed,Murder,1
19,88,In Recovery,Occasional,Unemployed,Drug Offense,1
42,39,In Recovery,Addicted,Unemployed,Assault,1
24,40,Undiagnosed,Occasional,Full-Time,Theft,1
17,90,Mild,Dealer,Part-Time,Fraud,1
69,54,Severe,Occasional,Criminal Income,Theft,1
10,55,Severe,Dealer,Criminal Income,Kidnapping,1
38,24,Mild,Not Found,Full-Time,Other,0
21,49,Undiagnosed,Never,Full-Time,Kidnapping,1
61,47,None,Dealer,Unemployed,Rape,1
37,11,Undiagnosed,Dealer,Criminal Income,Rape,1
62,78,Severe,Not Found,Criminal Income,Assault,1
72,100,Severe,Frequent,Criminal Income,Assault,1
27,93,In Recovery,Occasional,Part-Time,Kidnapping,1
33,92,In Recovery,Not Found,Part-Time,Fraud,1
71,71,Severe,Not Found,Unemployed,Kidnapping,1
26,33,In Recovery,Dealer,Full-Time,Rape,1
17,71,Mild,Occasional,Full-Time,Fraud,1
44,27,Severe,Addicted,Criminal Income,Theft,1
72,79,Undiagnosed,Never,Criminal Income,Theft,1
79,41,None,Never,Unemployed,Dacoity,1
31,70,Undiagnosed,Not Found,Full-Time,Fraud,1
23,56,In Recovery,Dealer,Part-Time,Other,1
45,50,Undiagnosed,Frequent,Full-Time,Dacoity,1
52,56,Undiagnosed,Not Found,Unemployed,Assault,1
64,74,None,Never,Unemployed,Murder,1
13,17,Undiagnosed,Addicted,Full-Time,Rape,1
24,95,Undiagnosed,Addicted,Part-Time,Other,1
32,77,None,Dealer,Full-Time,Murder,1
38,99,None,Not Found,Unemployed,Cybercrime,1
50,22,Undiagnosed,Frequent,Criminal Income,Drug Offense,1
18,7,Mild,Dealer,Unemployed,Cybercrime,1
18,14,In Recovery,Dealer,Unemployed,Drug Offense,1
65,60,Mild,Dealer,Unemployed,Drug Offense,1
69,45,In Recovery,Frequent,Full-Time,Murder,1
23,18,In Recovery,Occasional,Part-Time,Murder,1
66,99,Mild,Frequent,Part-Time,Assault,1
40,61,Undiagnosed,Frequent,Criminal Income,Kidnapping,1
74,9,Mild,Occasional,Full-Time,Fraud,0
73,34,None,Dealer,Unemployed,Cybercrime,1
36,100,In Recovery,Not Found,Part-Time,Dacoity,1
15,85,Undiagnosed,Addicted,Unemployed,Fraud,1
79,12,Mild,Dealer,Part-Time,Other,1
66,91,Undiagnosed,Frequent,Criminal Income,Fraud,1
21,7,In Recovery,Occasional,Criminal Income,Assault,1
56,36,Mild,Dealer,Full-Time,Murder,1
75,44,Severe,Dealer,Unemployed,Other,1
55,90,In Recovery,Frequent,Part-Time,Other,1
38,53,None,Never,Part-Time,Theft,0
32,63,Undiagnosed,Occasional,Criminal Income,Drug Offense,1
27,42,Severe,Not Found,Unemployed,Murder,1
48,14,Mild,Addicted,Full-Time,Cybercrime,0
23,28,Mild,Never,Unemployed,Theft,0
57,24,None,Addicted,Full-Time,Theft,0
73,0,Severe,Addicted,Unemployed,Theft,1
65,88,Severe,Frequent,Full-Time,Murder,1
19,1,Severe,Never,Part-Time,Murder,0
53,64,Severe,Never,Full-Time,Drug Offense,1
15,11,None,Occasional,Part-Time,Fraud,0
20,71,Mild,Dealer,Unemployed,Dacoity,1
32,4,None,Not Found,Criminal Income,Rape,0
28,14,In Recovery,Frequent,Unemployed,Fraud,0
40,89,Severe,Frequent,Full-Time,Cybercrime,1
26,97,Severe,Occasional,Part-Time,Kidnapping,1
60,62,In Recovery,Occasional,Criminal Income,Kidnapping,1
45,20,Severe,Never,Criminal Income,Dacoity,1
49,93,In Recovery,Addicted,Part-Time,Kidnapping,1
8,41,In Recovery,Occasional,Full-Time,Kidnapping,1
46,83,Undiagnosed,Not Found,Unemployed,Dacoity,1
24,43,Undiagnosed,Not Found,Full-Time,Dacoity,1
24,30,Undiagnosed,Not Found,Full-Time,Assault,1
58,59,Severe,Frequent,Unemployed,Other,1
20,18,Severe,Not Found,Full-Time,Theft,0
10,77,Severe,Addicted,Unemployed,Fraud,1
11,62,Mild,Addicted,Part-Time,Rape,1
23,94,Mild,Addicted,Criminal Income,Dacoity,1
56,42,Severe,Addicted,Full-Time,Assault,1
9,45,None,Addicted,Part-Time,Assault,1
42,61,In Recovery,Addicted,Unemployed,Murder,1
21,12,Undiagnosed,Addicted,Full-Time,Other,1
34,28,Mild,Frequent,Criminal Income,Assault,1
33,71,Severe,Dealer,Full-Time,Rape,1
63,86,Mild,Not Found,Criminal Income,Drug Offense,1
30,67,None,Never,Unemployed,Murder,1
29,93,Mild,Addicted,Unemployed,Drug Offense,1
28,100,None,Addicted,Part-Time,Drug Offense,1
25,32,Undiagnosed,Dealer,Full-Time,Murder,1
79,54,Mild,Addicted,Unemployed,Kidnapping,1
39,22,Mild,Dealer,Full-Time,Dacoity,1
49,23,In Recovery,Frequent,Unemployed,Murder,1
38,22,Severe,Occasional,Unemployed,Dacoity,1
23,57,In Recovery,Never,Part-Time,Other,1
16,96,Severe,Frequent,Criminal Income,Other,1
47,62,Severe,Addicted,Unemployed,Rape,1
61,55,In Recovery,Occasional,Full-Time,Rape,1
23,92,Severe,Frequent,Part-Time,Theft,1
76,95,In Recovery,Dealer,Unemployed,Assault,1
73,14,Undiagnosed,Frequent,Part-Time,Drug Offense,1
78,94,Severe,Addicted,Full-Time,Assault,1
63,99,Mild,Dealer,Part-Time,Assault,1
25,43,In Recovery,Never,Full-Time,Other,0
41,41,Mild,Dealer,Part-Time,Rape,1
59,0,In Recovery,Frequent,Unemployed,Rape,1
44,10,Undiagnosed,Dealer,Part-Time,Dacoity,1
76,40,None,Not Found,Full-Time,Fraud,0
36,25,Severe,Occasional,Unemployed,Kidnapping,1
40,62,Mild,Not Found,Criminal Income,Fraud,1
47,63,Undiagnosed,Dealer,Part-Time,Rape,1
15,26,Severe,Occasional,Unemployed,Fraud,1
69,63,Mild,Addicted,Full-Time,Drug Offense,1
31,78,Undiagnosed,Occasional,Criminal Income,Other,1
28,53,In Recovery,Never,Part-Time,Cybercrime,1
65,69,Undiagnosed,Addicted,Unemployed,Kidnapping,1
65,99,In Recovery,Addicted,Part-Time,Rape,1
65,11,Mild,Dealer,Unemployed,Other,1
19,33,Severe,Dealer,Unemployed,Assault,1
62,9,None,Not Found,Criminal Income,Assault,0
51,8,None,Dealer,Unemployed,Cybercrime,1
36,58,Severe,Not Found,Criminal Income,Murder,1
77,40,Undiagnosed,Not Found,Unemployed,Dacoity,1
35,59,None,Not Found,Criminal Income,Theft,1
79,64,Undiagnosed,Not Found,Full-Time,Dacoity,1
44,50,Undiagnosed,Addicted,Unemployed,Cybercrime,1
66,91,In Recovery,Never,Unemployed,Fraud,1
39,37,Undiagnosed,Occasional,Unemployed,Dacoity,1
16,2,Severe,Not Found,Criminal Income,Dacoity,1
37,83,Severe,Dealer,Full-Time,Theft,1
42,5,Mild,Dealer,Part-Time,Fraud,1
28,38,None,Frequent,Part-Time,Theft,1
55,65,Mild,Frequent,Criminal Income,Cybercrime,1
72,95,Mild,Not Found,Unemployed,Theft,1
39,51,In Recovery,Never,Unemployed,Fraud,1
76,21,In Recovery,Never,Full-Time,Murder,0
34,48,Severe,Not Found,Unemployed,Assault,1
61,19,Mild,Frequent,Criminal Income,Cybercrime,1
76,53,In Recovery,Addicted,Part-Time,Drug Offense,1
